file,type,Vth (V),SS (mV/dec),On/Off
no_light_linear0_8.csv,linear,-6.451467662348948,280721.3372009587,16.723970880640156
no_light_linear0_2.csv,linear,-6.761723431086072,64930.05618861863,8.753751361685087
no_light_sat8.csv,sat,-7.593899107624658,8466.058219514918,63.43993490416297
no_light_sat5.csv,sat,-7.1519869655922195,5472.490282836794,62.087217172121065
