Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:30:13
E(lx),10.42
Candle E(fc),0.97
CCT(K),1442
Duv,-0.01690
CIE x,0.5522
CIE y,0.3458
CIE u,0.3654
CIE v,0.3432
CIE u',0.3654
CIE v',0.5148
SDCM,61.04
Ra,69.9
R1,78
R2,76
R3,86
R4,71
R5,65
R6,38
R7,71
R8,75
R9,60
R10,55
R11,36
R12,-15
R13,69
R14,96
R15,96
Ee(mW/c©O),0.004
S/P,0.846
Dominant(nm),605.00
Purity(%),69.5
Half width(nm),8.8
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),603.5
R ratio(%),55.4
G ratio(%),43.2
B ratio(%),1.4
CIE1931 X,24.374
CIE1931 Y,15.263
CIE1931 Z,4.505
TLCI-2012,23
Integral Time(ms),2400.00
Peak Signal,51525
Dark Signal,1419
Compensate level,2892
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.004218,
381,0.001261,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000483,
393,0.001775,
394,0.002183,
395,0.002197,
396,0.001091,
397,0.000749,
398,0.000641,
399,0.001376,
400,0.002552,
401,0.002779,
402,0.003359,
403,0.003732,
404,0.003439,
405,0.006426,
406,0.005762,
407,0.005089,
408,0.002582,
409,0.000039,
410,0.000000,
411,0.000000,
412,0.000332,
413,0.001478,
414,0.002424,
415,0.002273,
416,0.001941,
417,0.003033,
418,0.003592,
419,0.003494,
420,0.001609,
421,0.000793,
422,0.001084,
423,0.001278,
424,0.001106,
425,0.000508,
426,0.000531,
427,0.000907,
428,0.001886,
429,0.005221,
430,0.007404,
431,0.009036,
432,0.010261,
433,0.010197,
434,0.011482,
435,0.013473,
436,0.014665,
437,0.018176,
438,0.020718,
439,0.028050,
440,0.035990,
441,0.047694,
442,0.057909,
443,0.066889,
444,0.076015,
445,0.083409,
446,0.094364,
447,0.100195,
448,0.103282,
449,0.104315,
450,0.104444,
451,0.102792,
452,0.097236,
453,0.090267,
454,0.085655,
455,0.079627,
456,0.078013,
457,0.071348,
458,0.065176,
459,0.057032,
460,0.052298,
461,0.050480,
462,0.049074,
463,0.048049,
464,0.045053,
465,0.042689,
466,0.042141,
467,0.039544,
468,0.038464,
469,0.038710,
470,0.038666,
471,0.039480,
472,0.036381,
473,0.033215,
474,0.029627,
475,0.026532,
476,0.020278,
477,0.015226,
478,0.010039,
479,0.012081,
480,0.016851,
481,0.019931,
482,0.020160,
483,0.018955,
484,0.015436,
485,0.013406,
486,0.012917,
487,0.012758,
488,0.015535,
489,0.018739,
490,0.018268,
491,0.019446,
492,0.021555,
493,0.024542,
494,0.026626,
495,0.026734,
496,0.024631,
497,0.026905,
498,0.024955,
499,0.029801,
500,0.033736,
501,0.038543,
502,0.038633,
503,0.033764,
504,0.031304,
505,0.033639,
506,0.040055,
507,0.043061,
508,0.045685,
509,0.048207,
510,0.049250,
511,0.049411,
512,0.049022,
513,0.049035,
514,0.052713,
515,0.061085,
516,0.066664,
517,0.071837,
518,0.071113,
519,0.068314,
520,0.068622,
521,0.072470,
522,0.077098,
523,0.077056,
524,0.075252,
525,0.074806,
526,0.077765,
527,0.081988,
528,0.085297,
529,0.083863,
530,0.085030,
531,0.080720,
532,0.078919,
533,0.079492,
534,0.081382,
535,0.085010,
536,0.085890,
537,0.085087,
538,0.081124,
539,0.079629,
540,0.076831,
541,0.075241,
542,0.074160,
543,0.071564,
544,0.072642,
545,0.073733,
546,0.074051,
547,0.074844,
548,0.071946,
549,0.073058,
550,0.071518,
551,0.070588,
552,0.068783,
553,0.067867,
554,0.067323,
555,0.066685,
556,0.062622,
557,0.063360,
558,0.066024,
559,0.066539,
560,0.067392,
561,0.064534,
562,0.062075,
563,0.061193,
564,0.058266,
565,0.057563,
566,0.060103,
567,0.060254,
568,0.062089,
569,0.062836,
570,0.063901,
571,0.062895,
572,0.062810,
573,0.062149,
574,0.064522,
575,0.066778,
576,0.069526,
577,0.074717,
578,0.077737,
579,0.081563,
580,0.085064,
581,0.090729,
582,0.099295,
583,0.106597,
584,0.113218,
585,0.119865,
586,0.128520,
587,0.136996,
588,0.143411,
589,0.148434,
590,0.152933,
591,0.156587,
592,0.159583,
593,0.161075,
594,0.160033,
595,0.166086,
596,0.174441,
597,0.183197,
598,0.187446,
599,0.183581,
600,0.178971,
601,0.177709,
602,0.177676,
603,0.182573,
604,0.195846,
605,0.230499,
606,0.294521,
607,0.354402,
608,0.397971,
609,0.431175,
610,0.492773,
611,0.628360,
612,0.757153,
613,0.779534,
614,0.672413,
615,0.505725,
616,0.388723,
617,0.329919,
618,0.313444,
619,0.311343,
620,0.307969,
621,0.301102,
622,0.305547,
623,0.321570,
624,0.348310,
625,0.385416,
626,0.472616,
627,0.679301,
628,1.085421,
629,1.512773,
630,1.724793,
631,1.653910,
632,1.457632,
633,1.327602,
634,1.246451,
635,1.091454,
636,0.831871,
637,0.509973,
638,0.283052,
639,0.185381,
640,0.141296,
641,0.123351,
642,0.119870,
643,0.127388,
644,0.165860,
645,0.232374,
646,0.310869,
647,0.338332,
648,0.304854,
649,0.224402,
650,0.159184,
651,0.127375,
652,0.109090,
653,0.096719,
654,0.085171,
655,0.076734,
656,0.069158,
657,0.067583,
658,0.062247,
659,0.062026,
660,0.061698,
661,0.056352,
662,0.048224,
663,0.038259,
664,0.030695,
665,0.033481,
666,0.037954,
667,0.041314,
668,0.045866,
669,0.044315,
670,0.043333,
671,0.041807,
672,0.035677,
673,0.033219,
674,0.025901,
675,0.020326,
676,0.020240,
677,0.021451,
678,0.022608,
679,0.023742,
680,0.021088,
681,0.020088,
682,0.024019,
683,0.020477,
684,0.016387,
685,0.007404,
686,0.002081,
687,0.005319,
688,0.009586,
689,0.008891,
690,0.006681,
691,0.005261,
692,0.009540,
693,0.011344,
694,0.010696,
695,0.007885,
696,0.007863,
697,0.008833,
698,0.007532,
699,0.003372,
700,0.000903,
701,0.000578,
702,0.005240,
703,0.007588,
704,0.010808,
705,0.010970,
706,0.009634,
707,0.013183,
708,0.009396,
709,0.008007,
710,0.003390,
711,0.008785,
712,0.013413,
713,0.014600,
714,0.012164,
715,0.007185,
716,0.006954,
717,0.007976,
718,0.007671,
719,0.007208,
720,0.004332,
721,0.005725,
722,0.003503,
723,0.005486,
724,0.013394,
725,0.017265,
726,0.018624,
727,0.016765,
728,0.009727,
729,0.011303,
730,0.010300,
731,0.011816,
732,0.017215,
733,0.017021,
734,0.014303,
735,0.007692,
736,0.002314,
737,0.001943,
738,0.003080,
739,0.004468,
740,0.008572,
741,0.012461,
742,0.016296,
743,0.016425,
744,0.012494,
745,0.007371,
746,0.001367,
747,0.000697,
748,0.000705,
749,0.001871,
750,0.004921,
751,0.006866,
752,0.007142,
753,0.010536,
754,0.009837,
755,0.009698,
756,0.013794,
757,0.010380,
758,0.010707,
759,0.007970,
760,0.005137,
761,0.011675,
762,0.014779,
763,0.017092,
764,0.014969,
765,0.019651,
766,0.023065,
767,0.019587,
768,0.014867,
769,0.007948,
770,0.006257,
771,0.007074,
772,0.005960,
773,0.007012,
774,0.006946,
775,0.010705,
776,0.009087,
777,0.008485,
778,0.003972,
779,0.004507,
780,0.004949,
