Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:32:15
E(lx),100.44
Candle E(fc),9.33
CCT(K),3903
Duv,0.04055
CIE x,0.4229
CIE y,0.5088
CIE u,0.2048
CIE v,0.3696
CIE u',0.2048
CIE v',0.5544
SDCM,51.63
Ra,72.4
R1,87
R2,78
R3,51
R4,83
R5,90
R6,69
R7,65
R8,57
R9,42
R10,42
R11,85
R12,31
R13,85
R14,70
R15,85
Ee(mW/c©O),0.025
S/P,1.483
Dominant(nm),570.20
Purity(%),79.8
Half width(nm),8.3
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),575.1
R ratio(%),22.3
G ratio(%),77.1
B ratio(%),0.5
CIE1931 X,122.218
CIE1931 Y,147.051
CIE1931 Z,19.732
TLCI-2012,47
Integral Time(ms),490.00
Peak Signal,48415
Dark Signal,1965
Compensate level,2948
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.001414,
431,0.003864,
432,0.009134,
433,0.019306,
434,0.026873,
435,0.038852,
436,0.048790,
437,0.067096,
438,0.087740,
439,0.115070,
440,0.148415,
441,0.190753,
442,0.238270,
443,0.284644,
444,0.327151,
445,0.366024,
446,0.404763,
447,0.435966,
448,0.456322,
449,0.461021,
450,0.450808,
451,0.424284,
452,0.386015,
453,0.348924,
454,0.311945,
455,0.279543,
456,0.253170,
457,0.222357,
458,0.192910,
459,0.167312,
460,0.150120,
461,0.138720,
462,0.127584,
463,0.114452,
464,0.102612,
465,0.091245,
466,0.088193,
467,0.080045,
468,0.073293,
469,0.069580,
470,0.065441,
471,0.061307,
472,0.049953,
473,0.040397,
474,0.034806,
475,0.032871,
476,0.029280,
477,0.025273,
478,0.025118,
479,0.030509,
480,0.039395,
481,0.047704,
482,0.050178,
483,0.055285,
484,0.052608,
485,0.049623,
486,0.049306,
487,0.052195,
488,0.059801,
489,0.067244,
490,0.067162,
491,0.068820,
492,0.078423,
493,0.092672,
494,0.108353,
495,0.123090,
496,0.131482,
497,0.152755,
498,0.171617,
499,0.204969,
500,0.234133,
501,0.268122,
502,0.300071,
503,0.336334,
504,0.382565,
505,0.441195,
506,0.507085,
507,0.568691,
508,0.646327,
509,0.736511,
510,0.830422,
511,0.929518,
512,1.024560,
513,1.120814,
514,1.215055,
515,1.327481,
516,1.435434,
517,1.536639,
518,1.626119,
519,1.707492,
520,1.801905,
521,1.902908,
522,2.014051,
523,2.123267,
524,2.231764,
525,2.330578,
526,2.411930,
527,2.485749,
528,2.547662,
529,2.591096,
530,2.628827,
531,2.656728,
532,2.679842,
533,2.702484,
534,2.716849,
535,2.728359,
536,2.735162,
537,2.731668,
538,2.716237,
539,2.685141,
540,2.644932,
541,2.602778,
542,2.547676,
543,2.487824,
544,2.424538,
545,2.358228,
546,2.300406,
547,2.231245,
548,2.159406,
549,2.090560,
550,2.016216,
551,1.949989,
552,1.873763,
553,1.797636,
554,1.720713,
555,1.643561,
556,1.569528,
557,1.494550,
558,1.424227,
559,1.360280,
560,1.290051,
561,1.213372,
562,1.140438,
563,1.074211,
564,1.015141,
565,0.951813,
566,0.892371,
567,0.830174,
568,0.774775,
569,0.724646,
570,0.676109,
571,0.627136,
572,0.588339,
573,0.544384,
574,0.507485,
575,0.472324,
576,0.444022,
577,0.430794,
578,0.417022,
579,0.406609,
580,0.399647,
581,0.394866,
582,0.405111,
583,0.416435,
584,0.429835,
585,0.444447,
586,0.458365,
587,0.471397,
588,0.475310,
589,0.478279,
590,0.486479,
591,0.492024,
592,0.498768,
593,0.498160,
594,0.497213,
595,0.516903,
596,0.542928,
597,0.565592,
598,0.570745,
599,0.552847,
600,0.534855,
601,0.530310,
602,0.533463,
603,0.545417,
604,0.590918,
605,0.742285,
606,1.033927,
607,1.317910,
608,1.520725,
609,1.655806,
610,1.934653,
611,2.552636,
612,3.153589,
613,3.255619,
614,2.747278,
615,1.963008,
616,1.416009,
617,1.130962,
618,1.044993,
619,1.023038,
620,0.994589,
621,0.974154,
622,0.990062,
623,1.049953,
624,1.140968,
625,1.278596,
626,1.674942,
627,2.638527,
628,4.572011,
629,6.686730,
630,7.693084,
631,7.387411,
632,6.397752,
633,5.780583,
634,5.425757,
635,4.719211,
636,3.514490,
637,2.030814,
638,0.996048,
