Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:25:06
E(lx),5.21
Candle E(fc),0.48
CCT(K),1919
Duv,-0.01742
CIE x,0.4975
CIE y,0.3624
CIE u,0.3132
CIE v,0.3422
CIE u',0.3132
CIE v',0.5133
SDCM,26.04
Ra,77.1
R1,71
R2,79
R3,96
R4,67
R5,66
R6,55
R7,87
R8,96
R9,91
R10,65
R11,45
R12,33
R13,68
R14,94
R15,85
Ee(mW/c©O),0.002
S/P,1.132
Dominant(nm),597.60
Purity(%),58.1
Half width(nm),8.5
Peak(nm),630.1
Center(nm),631.6
Centroid(nm),589.0
R ratio(%),42.9
G ratio(%),55.3
B ratio(%),1.8
CIE1931 X,10.477
CIE1931 Y,7.633
CIE1931 Z,2.951
TLCI-2012,40
Integral Time(ms),5000.00
Peak Signal,42250
Dark Signal,4604
Compensate level,2934
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
718,0.001250,
719,0.001153,
720,0.001188,
721,0.001522,
722,0.001219,
723,0.001017,
724,0.002487,
725,0.003927,
726,0.004844,
727,0.005283,
728,0.004608,
729,0.004321,
730,0.003275,
731,0.002269,
732,0.001750,
733,0.002263,
734,0.002419,
735,0.001775,
736,0.001078,
737,0.000560,
738,0.000354,
739,0.000673,
740,0.001457,
741,0.002030,
742,0.003193,
743,0.003545,
744,0.003091,
745,0.002320,
746,0.000862,
747,0.000550,
748,0.000557,
749,0.000492,
750,0.000047,
751,0.000047,
752,0.000197,
753,0.000761,
754,0.000957,
755,0.000902,
756,0.002198,
757,0.002233,
758,0.002416,
759,0.002232,
760,0.002273,
761,0.004772,
762,0.005558,
763,0.005118,
764,0.003128,
765,0.002154,
766,0.002073,
767,0.001997,
768,0.001843,
769,0.000977,
770,0.001541,
771,0.002940,
772,0.002925,
773,0.002983,
774,0.001591,
775,0.001656,
776,0.001838,
777,0.001955,
778,0.002395,
779,0.002283,
780,0.001929,
