Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:30:33
E(lx),8.15
Candle E(fc),0.76
CCT(K),1794
Duv,-0.02172
CIE x,0.5014
CIE y,0.3489
CIE u,0.3244
CIE v,0.3385
CIE u',0.3244
CIE v',0.5078
SDCM,34.39
Ra,71.9
R1,66
R2,73
R3,94
R4,62
R5,58
R6,43
R7,84
R8,95
R9,88
R10,53
R11,35
R12,8
R13,61
R14,95
R15,82
Ee(mW/c©O),0.003
S/P,1.126
Dominant(nm),602.50
Purity(%),55.2
Half width(nm),8.8
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),592.6
R ratio(%),46.4
G ratio(%),51.7
B ratio(%),1.9
CIE1931 X,17.152
CIE1931 Y,11.933
CIE1931 Z,5.122
TLCI-2012,33
Integral Time(ms),3800.00
Peak Signal,50090
Dark Signal,1888
Compensate level,2894
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
718,0.006038,
719,0.005352,
720,0.005336,
721,0.006357,
722,0.005981,
723,0.005719,
724,0.009705,
725,0.012031,
726,0.013618,
727,0.013603,
728,0.012137,
729,0.012045,
730,0.009645,
731,0.007727,
732,0.007311,
733,0.009121,
734,0.009245,
735,0.007290,
736,0.004751,
737,0.003489,
738,0.002769,
739,0.003804,
740,0.005022,
741,0.005953,
742,0.007803,
743,0.007662,
744,0.006757,
745,0.005082,
746,0.002455,
747,0.002421,
748,0.002815,
749,0.002939,
750,0.003653,
751,0.003671,
752,0.004792,
753,0.006971,
754,0.006953,
755,0.006316,
756,0.008867,
757,0.007718,
758,0.008306,
759,0.007426,
760,0.007134,
761,0.011146,
762,0.013174,
763,0.012127,
764,0.010156,
765,0.012110,
766,0.012422,
767,0.011746,
768,0.009042,
769,0.005594,
770,0.007278,
771,0.009508,
772,0.009197,
773,0.008384,
774,0.004643,
775,0.005377,
776,0.005922,
777,0.006369,
778,0.004280,
779,0.002749,
780,0.002027,
