類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:40:39
照度E(lx),78.36
燭光E(fc),7.28
相關色溫(K),4921
黑體偏離Duv,0.07708
CIE x,0.3719
CIE y,0.5923
CIE u,0.1589
CIE v,0.3795
CIE u',0.1589
CIE v',0.5693
色容差,99.38
顯色指數Ra,34.4
R1,78
R2,29
R3,2
R4,24
R5,76
R6,23
R7,14
R8,29
R9,27
R10,-43
R11,12
R12,3
R13,47
R14,50
R15,68
輻照度Ee(mW/c㎡),0.018
明暗視覺比S/P,1.853
主波長(nm),560.40
色純度(%),89.8
半寬度(nm),12.0
峰值波長(nm),630.0
中心波長(nm),629.0
質心波長(nm),567.3
紅色比(%),17.2
綠色比(%),82.5
藍色比(%),0.3
CIE1931 X,72.034
CIE1931 Y,114.731
CIE1931 Z,6.924
TLCI-2012,5
積分時間(ms),140.00
峰值信號,8895
暗信號,2337
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.017125,
381,0.015454,
382,0.005517,
383,0.006246,
384,0.003311,
385,0.003152,
386,0.000220,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.001591,
395,0.002019,
396,0.002296,
397,0.001166,
398,0.000461,
399,0.001278,
400,0.001167,
401,0.001145,
402,0.002102,
403,0.002224,
404,0.002207,
405,0.000916,
406,0.000040,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000472,
413,0.000932,
414,0.000927,
415,0.000735,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000654,
422,0.000647,
423,0.000646,
424,0.000257,
425,0.000000,
426,0.000066,
427,0.001336,
428,0.004466,
429,0.009677,
430,0.009666,
431,0.007572,
432,0.002913,
433,0.001327,
434,0.001275,
435,0.002026,
436,0.002015,
437,0.001821,
438,0.000197,
439,0.000087,
440,0.000427,
441,0.004400,
442,0.005002,
443,0.006716,
444,0.005350,
445,0.005413,
446,0.008027,
447,0.007298,
448,0.030362,
449,0.063234,
450,0.071254,
451,0.061364,
452,0.030009,
453,0.026080,
454,0.028991,
455,0.025828,
456,0.019353,
457,0.014520,
458,0.009862,
459,0.005165,
460,0.004465,
461,0.008083,
462,0.008580,
463,0.007831,
464,0.004328,
465,0.003981,
466,0.005357,
467,0.004780,
468,0.002417,
469,0.003012,
470,0.001784,
471,0.001852,
472,0.000180,
473,0.000074,
474,0.000015,
475,0.002078,
476,0.009996,
477,0.014563,
478,0.015701,
479,0.011793,
480,0.004359,
481,0.003623,
482,0.005023,
483,0.009203,
484,0.014089,
485,0.024705,
486,0.031260,
487,0.031026,
488,0.021603,
489,0.020978,
490,0.037823,
491,0.054747,
492,0.070686,
493,0.072972,
494,0.074263,
495,0.080669,
496,0.089664,
497,0.106899,
498,0.122270,
499,0.141579,
500,0.160355,
501,0.191163,
502,0.225313,
503,0.259500,
504,0.295503,
505,0.337913,
506,0.389106,
507,0.456366,
508,0.526746,
509,0.607122,
510,0.704451,
511,0.823506,
512,0.964949,
513,1.117016,
514,1.281772,
515,1.464998,
516,1.664406,
517,1.889517,
518,2.118702,
519,2.364641,
520,2.609686,
521,2.851632,
522,3.079906,
523,3.274977,
524,3.446639,
525,3.587468,
526,3.690950,
527,3.754498,
528,3.778410,
529,3.765413,
530,3.705283,
531,3.606387,
532,3.475597,
533,3.327451,
534,3.154543,
535,2.971009,
536,2.784212,
537,2.614947,
538,2.436806,
539,2.267949,
540,2.097185,
541,1.956079,
542,1.827927,
543,1.706061,
544,1.604865,
545,1.497968,
546,1.404307,
547,1.318960,
548,1.238290,
549,1.165085,
550,1.086687,
551,1.007465,
552,0.933062,
553,0.860648,
554,0.800635,
555,0.745881,
556,0.693662,
557,0.648042,
558,0.602172,
559,0.552435,
560,0.503985,
561,0.453330,
562,0.413150,
563,0.383155,
564,0.365051,
565,0.352745,
566,0.328230,
567,0.295982,
568,0.265353,
569,0.250035,
570,0.241248,
571,0.237799,
572,0.219749,
573,0.205529,
574,0.187873,
575,0.173116,
576,0.167564,
577,0.157277,
578,0.143832,
579,0.130569,
580,0.122818,
581,0.114782,
582,0.114978,
583,0.118013,
584,0.116274,
585,0.109230,
586,0.098383,
587,0.095793,
588,0.103079,
589,0.109465,
590,0.113934,
591,0.105805,
592,0.101364,
593,0.102821,
594,0.106561,
595,0.112460,
596,0.113125,
597,0.114253,
598,0.121259,
599,0.137070,
600,0.149563,
601,0.165088,
602,0.173932,
603,0.180632,
604,0.191719,
605,0.213453,
606,0.244328,
607,0.278585,
608,0.320686,
609,0.359513,
610,0.404258,
611,0.469569,
612,0.543313,
613,0.632664,
614,0.724118,
615,0.817191,
616,0.939542,
617,1.078408,
618,1.223549,
619,1.371722,
620,1.532622,
621,1.713863,
622,1.894490,
623,2.121032,
624,2.376801,
625,2.699173,
626,3.078282,
627,3.443008,
628,3.839322,
629,4.148190,
630,4.284216,
631,4.195392,
632,3.905298,
633,3.382842,
634,2.756480,
635,2.126025,
636,1.588791,
637,1.213095,
638,0.905658,
639,0.684121,
640,0.525985,
641,0.431711,
642,0.371428,
643,0.308005,
644,0.250016,
645,0.186806,
646,0.150835,
647,0.130900,
648,0.105032,
649,0.083958,
650,0.068078,
651,0.063579,
652,0.060054,
653,0.046646,
654,0.031948,
655,0.026680,
656,0.028263,
657,0.028462,
658,0.029257,
659,0.028051,
660,0.028318,
661,0.026022,
662,0.019881,
663,0.023077,
664,0.027084,
665,0.026036,
666,0.015393,
667,0.004545,
668,0.000594,
669,0.002201,
670,0.004220,
671,0.004883,
672,0.004144,
673,0.001018,
674,0.000258,
675,0.000275,
676,0.000276,
677,0.000277,
678,0.000140,
679,0.000000,
680,0.000000,
681,0.000439,
682,0.003477,
683,0.004416,
684,0.005988,
685,0.003184,
686,0.009562,
687,0.014354,
688,0.014234,
689,0.011939,
690,0.001684,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000676,
696,0.001405,
697,0.003444,
698,0.003709,
699,0.002669,
700,0.001604,
701,0.000370,
702,0.000301,
703,0.000048,
704,0.000036,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000602,
713,0.001291,
714,0.001300,
715,0.001197,
716,0.000000,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000252,
725,0.002741,
726,0.005037,
727,0.005072,
728,0.003686,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000654,
737,0.001371,
738,0.001395,
739,0.001406,
740,0.000152,
741,0.001838,
742,0.001858,
743,0.001881,
744,0.000807,
745,0.000000,
746,0.000000,
747,0.001508,
748,0.002031,
749,0.002060,
750,0.001567,
751,0.000926,
752,0.010672,
753,0.010908,
754,0.011044,
755,0.003813,
756,0.000000,
757,0.000000,
758,0.000215,
759,0.001546,
760,0.001565,
761,0.001587,
762,0.000522,
763,0.000000,
764,0.006180,
765,0.012234,
766,0.012385,
767,0.010710,
768,0.000517,
769,0.000000,
770,0.032488,
771,0.038928,
772,0.039474,
773,0.022657,
774,0.001170,
775,0.002924,
776,0.003777,
777,0.003692,
778,0.002796,
779,0.000185,
780,0.000248,
