類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:42:56
照度E(lx),46.60
燭光E(fc),4.33
相關色溫(K),4658
黑體偏離Duv,0.06720
CIE x,0.3869
CIE y,0.5694
CIE u,0.1708
CIE v,0.3771
CIE u',0.1708
CIE v',0.5657
色容差,82.57
顯色指數Ra,50.5
R1,80
R2,48
R3,27
R4,53
R5,84
R6,43
R7,35
R8,34
R9,7
R10,-6
R11,47
R12,26
R13,61
R14,61
R15,74
輻照度Ee(mW/c㎡),0.011
明暗視覺比S/P,1.798
主波長(nm),563.00
色純度(%),87.4
半寬度(nm),12.0
峰值波長(nm),630.0
中心波長(nm),629.0
質心波長(nm),570.2
紅色比(%),19.1
綠色比(%),80.6
藍色比(%),0.3
CIE1931 X,46.354
CIE1931 Y,68.224
CIE1931 Z,5.237
TLCI-2012,11
積分時間(ms),140.00
峰值信號,6438
暗信號,2374
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.020394,
381,0.024689,
382,0.014736,
383,0.012328,
384,0.003496,
385,0.003878,
386,0.000950,
387,0.000799,
388,0.000319,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000129,
393,0.001365,
394,0.007131,
395,0.007501,
396,0.007080,
397,0.001601,
398,0.000238,
399,0.000472,
400,0.000609,
401,0.000853,
402,0.003246,
403,0.003673,
404,0.003609,
405,0.002086,
406,0.000870,
407,0.001185,
408,0.000518,
409,0.000508,
410,0.000126,
411,0.000292,
412,0.000749,
413,0.000763,
414,0.000759,
415,0.000036,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000342,
421,0.001109,
422,0.001096,
423,0.000923,
424,0.002032,
425,0.002826,
426,0.003482,
427,0.005762,
428,0.006755,
429,0.011506,
430,0.009448,
431,0.007103,
432,0.003336,
433,0.001926,
434,0.002349,
435,0.005456,
436,0.006169,
437,0.005718,
438,0.002751,
439,0.003907,
440,0.009288,
441,0.018126,
442,0.019498,
443,0.022153,
444,0.019303,
445,0.022257,
446,0.028648,
447,0.026540,
448,0.048295,
449,0.077573,
450,0.087396,
451,0.084977,
452,0.058814,
453,0.058241,
454,0.056843,
455,0.048100,
456,0.035319,
457,0.025858,
458,0.016998,
459,0.014298,
460,0.013166,
461,0.017687,
462,0.019060,
463,0.018794,
464,0.014836,
465,0.012847,
466,0.011584,
467,0.008520,
468,0.004275,
469,0.005981,
470,0.006107,
471,0.007068,
472,0.002842,
473,0.001287,
474,0.000396,
475,0.003308,
476,0.012948,
477,0.017850,
478,0.023689,
479,0.020520,
480,0.013248,
481,0.007700,
482,0.003156,
483,0.007069,
484,0.010380,
485,0.020020,
486,0.025694,
487,0.027117,
488,0.018900,
489,0.016771,
490,0.024644,
491,0.032222,
492,0.040536,
493,0.042016,
494,0.041597,
495,0.045707,
496,0.052469,
497,0.064758,
498,0.077869,
499,0.090727,
500,0.096356,
501,0.113732,
502,0.131173,
503,0.151937,
504,0.174855,
505,0.200245,
506,0.229379,
507,0.269770,
508,0.313226,
509,0.359194,
510,0.415067,
511,0.475456,
512,0.554152,
513,0.638243,
514,0.728010,
515,0.827300,
516,0.932332,
517,1.059702,
518,1.193807,
519,1.335272,
520,1.473782,
521,1.607931,
522,1.736473,
523,1.850138,
524,1.954061,
525,2.037585,
526,2.101529,
527,2.135924,
528,2.158565,
529,2.155983,
530,2.121119,
531,2.061343,
532,1.974016,
533,1.887401,
534,1.786147,
535,1.680679,
536,1.577444,
537,1.485005,
538,1.382083,
539,1.284274,
540,1.182059,
541,1.108558,
542,1.035602,
543,0.963904,
544,0.902830,
545,0.841302,
546,0.790757,
547,0.748828,
548,0.705293,
549,0.672893,
550,0.630450,
551,0.585321,
552,0.542698,
553,0.501531,
554,0.472363,
555,0.444490,
556,0.414918,
557,0.391692,
558,0.369165,
559,0.342790,
560,0.319216,
561,0.287792,
562,0.269245,
