栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-5.99934,0.000665732,6.99783,0.00570817,8.57428
-5.99934,0.000689337,7.49703,0.00584877,8.48463
-5.99934,0.0006981,7.99716,0.00595145,8.52521
-5.99934,0.000716936,8.49629,0.0060951,8.5016
-5.99934,0.000746502,8.99671,0.00625914,8.38463
-5.99933,0.000783758,9.49707,0.00644393,8.22184
-5.99934,0.000813562,9.99625,0.00661781,8.13436
-4.99952,0.000232972,0.0404344,0.000436061,1.87173
-4.99953,0.000268976,0.499984,0.0044268,16.458
-4.99953,0.000315649,0.999088,0.0081761,25.9025
-4.99953,0.000363575,1.49929,0.0104072,28.6246
-4.99954,0.000402023,1.99953,0.011433,28.4387
-4.99953,0.000423959,2.4989,0.0119525,28.1926
-4.99952,0.00044351,2.99912,0.012276,27.6792
-4.99953,0.000463837,3.49833,0.0125549,27.0675
-4.99953,0.000487263,3.99857,0.0127942,26.2573
-4.99952,0.000506457,4.49897,0.0130021,25.6727
-4.99953,0.000530003,4.99807,0.013191,24.8885
-4.99953,0.000544249,5.49834,0.0133407,24.5121
-4.99953,0.000554502,5.9975,0.0134994,24.3451
-4.99953,0.000569404,6.49776,0.0136383,23.9519
-4.99954,0.00058371,6.99784,0.0137567,23.5677
-4.99953,0.000596228,7.497,0.0138798,23.2793
-4.99953,0.000607912,7.99715,0.0139647,22.9716
-4.99952,0.000643021,8.49628,0.0141125,21.9472
-4.99954,0.000664421,8.99669,0.0141978,21.3687
-4.99953,0.000683496,9.49707,0.0143075,20.9328
-4.99953,0.000699471,9.99624,0.014413,20.6056
-3.99959,0.000135333,0.0404105,0.000392651,2.90137
-3.99959,0.000159534,0.499959,0.00475291,29.7925
-3.99959,0.000194286,0.999059,0.00943624,48.5688
-3.9996,0.000235714,1.49929,0.0137915,58.5095
-3.9996,0.000277798,1.99951,0.0172134,61.9637
-3.9996,0.000318093,2.4989,0.0191883,60.3229
-3.99959,0.000353322,2.99912,0.0202107,57.2019
-3.99959,0.000376391,3.49831,0.0206862,54.9593
-3.99959,0.000397016,3.99856,0.0209934,52.878
-3.9996,0.000417104,4.49895,0.0212518,50.9508
-3.9996,0.000439636,4.99805,0.0213288,48.5147
-3.99959,0.000456207,5.49831,0.0216235,47.3984
-3.9996,0.000467235,5.99747,0.0216748,46.3895
-3.99961,0.000490959,6.49774,0.0218019,44.4068
-3.9996,0.000509438,6.99781,0.0219302,43.0478
-3.9996,0.000521956,7.49699,0.0220121,42.1723
-3.9996,0.000552773,7.99713,0.022123,40.0219
-3.99959,0.000562251,8.49627,0.0221258,39.3522
-3.99961,0.000581862,8.99669,0.0221597,38.0841
-3.99959,0.000598374,9.49706,0.0221909,37.0853
-3.99959,0.000621502,9.99622,0.0222957,35.8739
