栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-5.9993,0.000841399,6.99777,0.00533483,6.34043
-5.99931,0.000866435,7.49696,0.0054978,6.34531
-5.9993,0.000896597,7.99711,0.00567895,6.33389
-5.99929,0.000927176,8.49622,0.00585485,6.31471
-5.99929,0.00094345,8.99663,0.00599707,6.35653
-5.99928,0.000977188,9.49701,0.00618526,6.32965
-5.9993,0.000999243,9.99616,0.00637923,6.38406
-4.99948,0.000351534,0.0404217,0.00052306,1.48794
-4.99948,0.000397194,0.499959,0.00444272,11.1853
-4.99949,0.000459903,0.999055,0.00796185,17.312
-4.99949,0.000512716,1.49928,0.00972371,18.9651
-4.99951,0.000550985,1.9995,0.0105217,19.0962
-4.9995,0.000575902,2.49887,0.0110621,19.2083
-4.9995,0.000603083,2.99909,0.0114533,18.9912
-4.99949,0.000626867,3.49829,0.0117282,18.7092
-4.99948,0.000645882,3.99853,0.0119763,18.5426
-4.99949,0.000660963,4.49895,0.012176,18.4216
-4.9995,0.000686238,4.99803,0.0123916,18.0573
-4.9995,0.000701557,5.49828,0.0126055,17.9679
-4.9995,0.000723314,5.99743,0.0128341,17.7435
-4.9995,0.000735832,6.4977,0.0130502,17.7353
-4.99949,0.000750973,6.99779,0.0132103,17.5909
-4.99949,0.000779287,7.49695,0.013348,17.1285
-4.99951,0.000794964,7.99708,0.0134765,16.9523
-4.99951,0.000829597,8.49621,0.0136342,16.4347
-4.9995,0.000852785,8.99662,0.0137847,16.1643
-4.9995,0.000867687,9.497,0.0138987,16.0181
-4.99949,0.00089767,9.99616,0.0140205,15.6188
-3.99955,0.000225163,0.0404153,0.000459496,2.04073
-3.99956,0.000259915,0.499944,0.00461028,17.7376
-3.99956,0.000299197,0.999019,0.00867084,28.9804
-3.99956,0.000362562,1.49928,0.0136234,37.5754
-3.99955,0.000414362,1.99948,0.0163425,39.4402
-3.99955,0.000471348,2.49887,0.0182095,38.6328
-3.99956,0.000505325,2.99908,0.019159,37.9142
-3.99955,0.000538467,3.4983,0.0197782,36.7306
-3.99957,0.000555038,3.99852,0.0200887,36.1934
-3.99955,0.000584128,4.49893,0.0203928,34.9115
-3.99956,0.000607017,4.99803,0.020557,33.8656
-3.99955,0.000624006,5.49828,0.02074,33.2369
-3.99956,0.000642365,5.99742,0.020943,32.603
-3.99956,0.000667222,6.49768,0.021164,31.7196
-3.99956,0.000687012,6.99776,0.021362,31.0941
-3.99955,0.000699292,7.49693,0.0214787,30.7149
-3.99955,0.000714313,7.99707,0.021536,30.1492
-3.99955,0.000735176,8.49619,0.0215795,29.3528
-3.99956,0.00076057,8.99661,0.0216462,28.4605
-3.99955,0.000784831,9.49698,0.0217033,27.6535
-3.99956,0.000804323,9.99613,0.0217563,27.0492
