源:电流源
起点:0mA
终点:100mA
点数:1000
限值:5 V
延时:0us
NPLC:1
2/4Wire:2
面板:前面板

点数,电压(V),电流(A),电阻(Ω),功率(W)
745,4.62112,0.0744653,62.0574,0.344113
746,4.63931,0.0745644,62.2188,0.345927
747,4.64737,0.0746676,62.2408,0.347008
748,4.64752,0.0747664,62.1605,0.347478
749,4.63959,0.0748651,61.9727,0.347343
750,4.64062,0.0749683,61.9011,0.347899
751,4.6532,0.0750672,61.9871,0.349303
752,4.66,0.0751657,61.9964,0.350272
753,4.67896,0.0752692,62.163,0.352182
754,4.67728,0.0753676,62.0596,0.352515
755,4.67865,0.0754665,61.9964,0.353081
756,4.67468,0.0755699,61.859,0.353265
757,4.67871,0.0756685,61.8317,0.354031
758,4.68762,0.0757675,61.8685,0.355169
759,4.67892,0.0758661,61.6734,0.354971
760,4.68921,0.0759672,61.7268,0.356226
761,4.69284,0.0760662,61.6942,0.356967
762,4.69354,0.0761647,61.6236,0.357482
763,4.70798,0.0762682,61.7293,0.359069
764,4.70377,0.0763669,61.5944,0.359212
765,4.71176,0.0764653,61.6196,0.360286
766,4.71365,0.0765688,61.561,0.360919
767,4.71085,0.0766674,61.4453,0.361169
768,4.72079,0.0767664,61.4955,0.362398
769,4.72,0.0768694,61.4028,0.362824
770,4.69577,0.0769683,61.0091,0.361425
771,4.71994,0.0770671,61.2446,0.363752
772,4.72482,0.0771657,61.2295,0.364594
773,4.72821,0.0772693,61.1913,0.365345
774,4.7384,0.0773677,61.2452,0.366599
775,4.75623,0.0774665,61.3972,0.368448
776,4.77194,0.07757,61.5179,0.370159
777,4.7872,0.0776684,61.6364,0.371814
778,4.79852,0.0777674,61.7035,0.373168
779,4.79416,0.0778705,61.5658,0.373324
780,4.80972,0.0779691,61.6875,0.37501
781,4.80423,0.0780682,61.5389,0.375058
782,4.80368,0.0781711,61.4508,0.375509
783,4.81683,0.07827,61.5412,0.377013
784,4.81909,0.0783686,61.4926,0.377665
785,4.81668,0.0784673,61.3846,0.377952
786,4.81708,0.0785708,61.3088,0.378482
787,4.82199,0.0786695,61.2943,0.379344
788,4.83511,0.0787682,61.384,0.380853
789,4.81931,0.0788712,61.1035,0.380105
790,4.8273,0.07897,61.1283,0.381212
791,4.83734,0.0790689,61.1788,0.382483
792,4.83701,0.0791721,61.0949,0.382956
793,4.82742,0.0792711,60.8976,0.382675
794,4.82794,0.0793695,60.8287,0.383191
795,4.83173,0.0794684,60.8006,0.38397
796,4.85083,0.0795717,60.9617,0.385989
797,4.84741,0.0796704,60.8433,0.386195
798,4.8613,0.0797693,60.942,0.387782
799,4.84976,0.0798724,60.7188,0.387362
800,4.84753,0.079971,60.6161,0.387662
801,4.86014,0.0800699,60.6987,0.389151
802,4.87518,0.0801732,60.8081,0.390859
803,4.88211,0.0802719,60.8197,0.391896
804,4.89215,0.0803705,60.87,0.393185
805,4.90295,0.0804718,60.9276,0.394549
806,4.92847,0.0805707,61.1695,0.39709
807,4.93378,0.0806694,61.1605,0.398005
808,4.9245,0.0807682,60.9708,0.397743
809,4.9068,0.0808712,60.6743,0.396819
810,4.90588,0.0809702,60.5887,0.39723
811,4.91489,0.0810687,60.6262,0.398444
812,4.8974,0.0811721,60.3335,0.397532
813,4.89838,0.0812709,60.2722,0.398096
814,4.89114,0.0813694,60.1103,0.397989
815,4.90997,0.0814728,60.2651,0.400029
816,4.90137,0.0815716,60.0867,0.399813
817,4.91602,0.0816703,60.1935,0.401493
818,4.91901,0.0817737,60.1539,0.402246
819,4.91724,0.0818723,60.0599,0.402586
820,4.93045,0.0819711,60.1486,0.404154
821,4.92865,0.0820699,60.0543,0.404494
822,4.92648,0.0821732,59.9524,0.404825
823,4.92032,0.0822718,59.8057,0.404804
824,4.96378,0.0823703,60.2618,0.408868
825,4.97476,0.0822643,60.4729,0.409245
826,5,0.0823708,60.7011,0.411854
827,5.00241,0.0796855,62.7769,0.39862
828,5.00229,0.0769698,64.9903,0.385025
829,5.00235,0.0746292,67.0294,0.373321
830,5.00235,0.071525,69.9385,0.357793
831,5.00232,0.0722742,69.2131,0.361539
832,5.00232,0.072442,69.0528,0.362378
833,4.95215,0.0812307,60.964,0.402267
834,4.86212,0.0833719,58.3185,0.405364
835,4.84525,0.0834753,58.0441,0.404459
836,4.85901,0.0835739,58.1403,0.406086
837,4.89169,0.0836726,58.4623,0.4093
838,4.93097,0.083776,58.859,0.413097
839,4.91971,0.0838747,58.6555,0.412639
840,4.92822,0.0839735,58.6878,0.41384
841,4.95108,0.0840766,58.8877,0.41627
842,4.96149,0.0841756,58.9421,0.417636
843,4.95551,0.0842742,58.8022,0.417622
844,4.93735,0.0843775,58.515,0.416601
845,4.92667,0.0844765,58.32,0.416188
846,4.94537,0.0845748,58.4733,0.418254
847,4.93808,0.0846737,58.3189,0.418126
848,4.94308,0.0847769,58.3069,0.419059
849,4.95264,0.0848755,58.3518,0.420358
850,4.96207,0.0849746,58.3947,0.42165
851,4.96024,0.0850756,58.3039,0.421995
852,4.96463,0.0851745,58.2878,0.42286
853,4.96405,0.0852732,58.2135,0.4233
854,4.9606,0.0853763,58.1028,0.423518
855,4.97583,0.0854753,58.2137,0.425311
856,4.98752,0.0855739,58.2832,0.426802
857,4.9939,0.0856771,58.2875,0.427863
858,4.9986,0.0856841,58.3375,0.428301
859,4.99213,0.0858088,58.1774,0.428369
860,4.97693,0.0859734,57.8892,0.427884
861,4.98801,0.0860766,57.9485,0.429351
862,4.98517,0.0861755,57.849,0.4296
863,4.99939,0.0861676,58.0194,0.430785
864,4.99753,0.0861913,57.9818,0.430744
865,4.91006,0.08612,57.0142,0.422854
866,4.82584,0.0865749,55.7418,0.417797
867,4.85123,0.0866784,55.9682,0.420497
868,4.94476,0.0785507,62.9499,0.388414
869,5.00229,0.0724547,69.0402,0.362439
870,4.90036,0.0835467,58.6541,0.409409
871,4.82248,0.0870775,55.3815,0.41993
872,4.82123,0.0871765,55.3042,0.420298
873,4.91016,0.0872033,56.307,0.428182
874,5.00073,0.0871512,57.3799,0.43582
875,5.00232,0.0866674,57.7186,0.433538
876,4.91577,0.087199,56.3742,0.42865
877,4.90451,0.0876798,55.9366,0.430026
878,4.86664,0.0877784,55.4423,0.427186
879,4.8656,0.0878772,55.3682,0.427575
880,4.85809,0.0879803,55.2179,0.427416
881,4.86279,0.0880789,55.2095,0.428309
882,4.87311,0.0881781,55.2644,0.429702
883,4.87607,0.0882809,55.2336,0.430464
884,4.89075,0.0883798,55.3379,0.432244
885,4.87756,0.0884787,55.1269,0.43156
886,4.88644,0.0885773,55.1658,0.432828
887,4.89728,0.0886806,55.2238,0.434294
888,4.91489,0.0887794,55.3607,0.436341
889,4.90903,0.088878,55.2334,0.436305
890,4.90906,0.0889814,55.1695,0.436815
891,4.91925,0.08908,55.2228,0.438207
892,4.92041,0.0891788,55.1747,0.438796
893,4.93057,0.0892819,55.2247,0.440211
894,4.92029,0.0893807,55.0487,0.439779
895,4.91779,0.0894795,54.96,0.440041
896,4.98111,0.0887328,56.1361,0.441988
897,4.99658,0.0891789,56.0287,0.44559
898,4.98438,0.0897782,55.5188,0.447489
899,4.99722,0.0896643,55.7325,0.448072
900,5.00009,0.0887206,56.3577,0.443611
901,5.00235,0.0892369,56.057,0.446394
902,5.00235,0.089101,56.1425,0.445714
903,5.00232,0.0885191,56.5112,0.442801
904,5.00238,0.0866472,57.7327,0.433442
905,5.00244,0.0755386,66.2236,0.377877
906,5.00229,0.0707559,70.6978,0.353942
907,5.00235,0.0710304,70.4255,0.355319
908,5.00226,0.0727202,68.7878,0.363765
909,5.00235,0.0728632,68.654,0.364487
910,5.00232,0.0718446,69.6269,0.35939
911,5.00235,0.0712188,70.2392,0.356261
912,5.00226,0.07301,68.5147,0.365215
913,5.00232,0.07983,62.6622,0.399335
914,5.00226,0.0803411,62.2628,0.401887
915,5.00241,0.0731156,68.4178,0.365754
916,5.00235,0.0720734,69.4063,0.360536
917,5.00232,0.0723063,69.1824,0.361699
918,5.00232,0.0723531,69.1376,0.361933
919,5.00229,0.0726098,68.8928,0.363215
