No,1,2,3,4,5,6,7,8,9,10
385nm,0.000000,0.003021,0.000000,0.000000,0.002907,0.000000,0.000000,0.000000,0.000000,0.000000
386nm,0.000000,0.000258,0.000000,0.000000,0.000148,0.000000,0.000000,0.000000,0.000000,0.000000
387nm,0.000000,0.000000,0.000000,0.000000,0.003034,0.000000,0.000000,0.000000,0.000000,0.000000
388nm,0.000000,0.000000,0.000000,0.000000,0.003641,0.000000,0.000000,0.000000,0.000000,0.000000
389nm,0.000000,0.000000,0.000000,0.000000,0.003533,0.000000,0.000000,0.000000,0.000000,0.000000
390nm,0.000000,0.001473,0.000000,0.000000,0.002760,0.000000,0.000000,0.000000,0.000000,0.000000
391nm,0.000000,0.001659,0.000000,0.000000,0.001634,0.000000,0.000000,0.000000,0.000000,0.000000
392nm,0.000000,0.005007,0.000000,0.001296,0.002402,0.000000,0.000000,0.000000,0.000000,0.000000
393nm,0.000000,0.005361,0.000000,0.001731,0.001593,0.000000,0.000000,0.000000,0.000000,0.000000
394nm,0.000000,0.004948,0.000000,0.001746,0.001246,0.000000,0.000000,0.000000,0.000000,0.000000
395nm,0.000223,0.004044,0.000597,0.001426,0.001545,0.000000,0.000000,0.000000,0.000000,0.000000
396nm,0.000856,0.005389,0.002643,0.002203,0.007024,0.000000,0.000000,0.000000,0.000000,0.000000
397nm,0.000818,0.005201,0.002524,0.002874,0.008380,0.000000,0.000000,0.000000,0.000000,0.000000
398nm,0.000797,0.005063,0.002458,0.002798,0.008159,0.000000,0.000000,0.000000,0.000000,0.000000
399nm,0.000000,0.000390,0.000082,0.001245,0.003216,0.000000,0.000000,0.000000,0.000000,0.000000
400nm,0.000000,0.000010,0.000000,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000
401nm,0.000000,0.000024,0.000000,0.000000,0.000270,0.000000,0.000000,0.000000,0.000000,0.000000
402nm,0.000000,0.000024,0.000000,0.000000,0.000826,0.000000,0.000000,0.000000,0.000000,0.000000
403nm,0.000795,0.000403,0.000136,0.000000,0.000819,0.000000,0.000000,0.000000,0.000000,0.000000
404nm,0.053958,0.019827,0.023631,0.012061,0.006731,0.000000,0.000000,0.000000,0.000000,0.000000
405nm,0.321328,0.087562,0.145140,0.084034,0.039679,0.000000,0.000000,0.000000,0.000000,0.000000
406nm,0.966849,0.241568,0.445795,0.258507,0.122211,0.000000,0.000000,0.000000,0.000000,0.000000
407nm,1.628284,0.400072,0.769743,0.446410,0.213239,0.000000,0.000000,0.000000,0.000000,0.000000
408nm,1.837862,0.443132,0.879388,0.507236,0.238595,0.000000,0.000000,0.000000,0.000000,0.000000
409nm,1.399825,0.347332,0.690257,0.402396,0.190734,0.000000,0.000000,0.000000,0.000000,0.000000
410nm,0.688397,0.182841,0.351246,0.209165,0.104448,0.000000,0.000000,0.000000,0.000000,0.000000
411nm,0.196058,0.065362,0.110325,0.073877,0.042686,0.000000,0.000000,0.000000,0.000000,0.000000
412nm,0.033804,0.021724,0.023465,0.019668,0.018859,0.000000,0.000000,0.000000,0.000000,0.000000
