experiment type,condition value,condition unit,peak wavelength (nm),peak photon energy (eV),integrated intensity,FWHM (eV),FWHM (meV)
PL,41.4,mW,530.0,2.339622641509434,2.403851079473074,0.14736319839141032,147.36319839141032
PL,14.7,mW,531.0,2.335216572504708,0.6962248694932223,0.13850434570289716,138.50434570289715
PL,23.5,mW,530.0,2.339622641509434,1.395889012343097,0.1413662586292519,141.3662586292519
PL,18.5,mW,530.0,2.339622641509434,0.9363303738690472,0.13957492727565102,139.57492727565102
PL,8.71,mW,531.0,2.335216572504708,0.2968157702439073,0.13614617277269225,136.14617277269224
EL,90.0,mA,521.0,2.380038387715931,15.56361565748594,0.14625903770376514,146.25903770376513
EL,100.0,mA,519.0,2.3892100192678227,24.68826158586085,0.15063545503920972,150.63545503920972
EL,80.0,mA,522.0,2.375478927203065,13.721566955705999,0.1441606738782495,144.1606738782495
EL,60.0,mA,523.0,2.3709369024856595,10.666405752003598,0.14309612683201012,143.09612683201013
EL,70.0,mA,523.0,2.3709369024856595,11.339213372690338,0.1429655456576424,142.96554565764242
